"name","primary_genre","weighted_avg_price","rights_purchase_cost","rating","rating-2","weighted_avg_review","lifespan_months","total_in_app_revenue","total_marketing_expense","total_profit"
"Google Street View","Travel",0.00,25000.00,4.0,4.2,4.20,114,255000,102000,128000.00
"Just Dance Now","Games",0.00,25000.00,3.5,4.2,4.20,114,255000,102000,128000.00
"King of Avalon: Dragon Warfare","Games",0.00,25000.00,4.0,4.2,4.20,114,255000,102000,128000.00
"Talking Ginger 2","Entertainment",0.00,25000.00,4.5,4.2,4.20,114,255000,102000,128000.00
"U by BB&T","Finance",0.00,25000.00,2.0,4.3,4.20,114,255000,102000,128000.00
"WeChat","Social Networking",0.00,25000.00,4.5,4.2,4.20,114,255000,102000,128000.00
"Angry Birds Friends","Games",0.00,25000.00,4.0,4.2,4.19,114,255000,102000,128000.00
"Google Slides","Productivity",0.00,25000.00,4.0,4.2,4.19,114,255000,102000,128000.00
"MARVEL Avengers Academy","Games",0.00,25000.00,4.0,4.2,4.19,114,255000,102000,128000.00
"Uber","Travel",0.00,25000.00,3.0,4.2,4.19,114,255000,102000,128000.00
"Wells Fargo Mobile","Finance",0.00,25000.00,3.0,4.4,4.19,114,255000,102000,128000.00
"Amazon Prime Video","Entertainment",0.00,25000.00,4.0,4.2,4.18,114,255000,102000,128000.00
"Google Classroom","Education",0.00,25000.00,4.0,4.2,4.18,114,255000,102000,128000.00
"Chick-fil-A","Food & Drink",0.00,25000.00,3.5,4.3,4.17,114,255000,102000,128000.00
"Google Earth","Travel",0.00,25000.00,3.5,4.3,4.17,114,255000,102000,128000.00
"NASCAR MOBILE","Sports",0.00,25000.00,4.0,4.2,4.17,114,255000,102000,128000.00
"XCOM®: Enemy Within","Games",9.99,99900.00,4.0,4.2,4.17,114,255000,102000,53100.00
"Dr. Panda Supermarket","Education",2.99,29900.00,4.0,4.2,4.16,114,255000,102000,123100.00
"LinkedIn","Social Networking",0.00,25000.00,3.5,4.2,4.16,114,255000,102000,128000.00
"Tomb of the Mask","Games",0.00,25000.00,4.5,4.1,4.15,114,255000,102000,128000.00
"NBA","Sports",0.00,25000.00,3.5,4.4,4.14,114,255000,102000,128000.00
"Kids A-Z","Education",0.00,25000.00,3.5,4.2,4.13,114,255000,102000,128000.00
"Nick","Entertainment",0.00,25000.00,3.5,4.2,4.13,114,255000,102000,128000.00
"Mad Skills Motocross","Games",0.22,25000.00,4.5,4.0,4.11,108,240000,96000,119000.00
"My Emma :)","Games",0.00,25000.00,4.5,4.1,4.11,108,240000,96000,119000.00
"Ao Oni2","Games",0.00,25000.00,4.0,4.1,4.10,108,240000,96000,119000.00
"Bejeweled Blitz","Games",0.00,25000.00,4.0,4.2,4.10,108,240000,96000,119000.00
"BET NOW - Watch Shows","Entertainment",0.00,25000.00,2.5,4.2,4.10,108,240000,96000,119000.00
"Can Knockdown 3","Games",0.01,25000.00,4.5,4.1,4.10,108,240000,96000,119000.00
"Cartoon Wars 3","Games",0.00,25000.00,4.0,4.1,4.10,108,240000,96000,119000.00
"diep.io","Games",0.00,25000.00,4.0,4.1,4.10,108,240000,96000,119000.00
